,Causa_Direta,Natureza,Interrupcao (h),Hora
406,Interferência de Terceiro,Abalroamento,0.5,20
407,Interferência de Terceiro,Abalroamento,0.0,0
408,Via Permanente,Descarrilamento,20.4,4
409,Interferência de Terceiro,Atropelamento,0.0,14
410,Interferência de Terceiro,Abalroamento,0.7,12
411,Interferência de Terceiro,Atropelamento,3.0,16
412,Via Permanente,Descarrilamento,11.2,13
413,Interferência de Terceiro,Abalroamento,3.3,16
414,Interferência de Terceiro,Abalroamento,3.5,21
415,Interferência de Terceiro,Atropelamento,1.0,19
416,Interferência de Terceiro,Abalroamento,2.0,19
417,Interferência de Terceiro,Abalroamento,0.0,20
418,Material Rodante,Descarrilamento,5.1,21
419,Via Permanente,Descarrilamento,7.3,11
420,Interferência de Terceiro,Abalroamento,3.5,15
421,Interferência de Terceiro,Abalroamento,0.5,2
422,Via Permanente,Descarrilamento,4.4,2
423,Via Permanente,Descarrilamento,10.2,1
424,Via Permanente,Descarrilamento,10.0,23
425,Interferência de Terceiro,Abalroamento,0.6,5
426,Interferência de Terceiro,Abalroamento,2.0,7
427,Interferência de Terceiro,Abalroamento,0.1,9
428,Interferência de Terceiro,Atropelamento,1.0,12
429,Interferência de Terceiro,Abalroamento,2.1,13
430,Interferência de Terceiro,Abalroamento,1.3,15
431,Interferência de Terceiro,Atropelamento,2.5,20
432,Interferência de Terceiro,Abalroamento,2.4,2
433,Interferência de Terceiro,Descarrilamento,13.0,14
434,Interferência de Terceiro,Abalroamento,0.9,8
435,Via Permanente,Descarrilamento,25.2,11
436,Interferência de Terceiro,Abalroamento,2.3,22
437,Interferência de Terceiro,Abalroamento,1.1,17
438,Interferência de Terceiro,Abalroamento,0.7,9
439,Interferência de Terceiro,Abalroamento,2.8,19
440,Interferência de Terceiro,Abalroamento,0.0,6
441,Interferência de Terceiro,Abalroamento,0.0,19
442,Interferência de Terceiro,Abalroamento,0.7,11
443,Interferência de Terceiro,Abalroamento,1.1,22
444,Via Permanente,Descarrilamento,8.5,22
445,Interferência de Terceiro,Abalroamento,0.4,1
446,Material Rodante,Descarrilamento,0.0,4
447,Casos Fortuitos ou de Força Maior,Abalroamento,0.0,5
448,Via Permanente,Descarrilamento,56.9,9
449,Interferência de Terceiro,Atropelamento,0.9,7
450,Via Permanente,Descarrilamento,18.6,17
451,Interferência de Terceiro,Atropelamento,2.5,0
452,Interferência de Terceiro,Atropelamento,0.0,17
453,Interferência de Terceiro,Abalroamento,0.4,22
454,Interferência de Terceiro,Atropelamento,3.8,9
455,Interferência de Terceiro,Incêndio,0.0,15
456,Interferência de Terceiro,Abalroamento,0.0,21
457,Interferência de Terceiro,Atropelamento,0.0,17
458,Interferência de Terceiro,Abalroamento,1.5,20
459,Via Permanente,Descarrilamento,5.9,6
460,Interferência de Terceiro,Atropelamento,1.5,10
461,Interferência de Terceiro,Abalroamento,1.6,14
462,Interferência de Terceiro,Atropelamento,2.5,19
463,Interferência de Terceiro,Atropelamento,2.0,18
464,Via Permanente,Descarrilamento,10.0,6
465,Interferência de Terceiro,Atropelamento,0.7,9
466,Material Rodante,Incêndio,2.0,10
467,Interferência de Terceiro,Abalroamento,1.7,19
468,Interferência de Terceiro,Abalroamento,0.5,16
469,Interferência de Terceiro,Abalroamento,2.9,18
470,Interferência de Terceiro,Abalroamento,0.5,22
471,Interferência de Terceiro,Atropelamento,0.8,15
472,Interferência de Terceiro,Atropelamento,1.1,16
473,Via Permanente,Descarrilamento,7.5,12
474,Interferência de Terceiro,Abalroamento,1.7,12
475,Material Rodante,Descarrilamento,0.0,19
476,Via Permanente,Descarrilamento,12.5,8
477,Via Permanente,Descarrilamento,20.7,6
478,Interferência de Terceiro,Abalroamento,0.0,8
479,Interferência de Terceiro,Abalroamento,1.2,19
480,Interferência de Terceiro,Abalroamento,16.0,21
481,Via Permanente,Descarrilamento,23.0,21
482,Interferência de Terceiro,Abalroamento,0.6,13
483,Casos Fortuitos ou de Força Maior,Atropelamento,0.0,17
484,Interferência de Terceiro,Atropelamento,1.6,17
485,Interferência de Terceiro,Atropelamento,1.3,8
486,Interferência de Terceiro,Abalroamento,0.7,19
487,Via Permanente,Descarrilamento,24.0,10
488,Interferência de Terceiro,Abalroamento,2.0,16
489,Interferência de Terceiro,Abalroamento,1.0,4
490,Via Permanente,Descarrilamento,27.0,10
491,Interferência de Terceiro,Abalroamento,0.7,13
492,Interferência de Terceiro,Abalroamento,0.5,17
493,Interferência de Terceiro,Atropelamento,1.0,0
494,Interferência de Terceiro,Abalroamento,0.0,6
495,Interferência de Terceiro,Atropelamento,2.0,19
496,Interferência de Terceiro,Abalroamento,0.4,14
497,Interferência de Terceiro,Atropelamento,0.0,2
498,Interferência de Terceiro,Abalroamento,0.7,12
499,Via Permanente,Descarrilamento,8.8,11
500,Interferência de Terceiro,Atropelamento,1.0,21
501,Via Permanente,Descarrilamento,2.0,22
502,Interferência de Terceiro,Abalroamento,2.9,6
503,Interferência de Terceiro,Abalroamento,0.0,7
504,Interferência de Terceiro,Abalroamento,1.0,23
505,Interferência de Terceiro,Atropelamento,3.9,1
506,Via Permanente,Descarrilamento,0.0,20
507,Interferência de Terceiro,Atropelamento,0.1,3
508,Via Permanente,Descarrilamento,4.3,3
509,Interferência de Terceiro,Atropelamento,0.4,0
510,Interferência de Terceiro,Abalroamento,1.9,10
511,Via Permanente,Descarrilamento,13.3,14
512,Interferência de Terceiro,Abalroamento,0.8,3
513,Interferência de Terceiro,Atropelamento,0.0,11
514,Interferência de Terceiro,Abalroamento,1.2,20
515,Interferência de Terceiro,Abalroamento,1.9,6
516,Interferência de Terceiro,Abalroamento,1.9,16
517,Interferência de Terceiro,Abalroamento,0.0,15
518,Interferência de Terceiro,Abalroamento,0.0,22
519,Interferência de Terceiro,Abalroamento,3.0,7
520,Interferência de Terceiro,Atropelamento,1.5,14
521,Interferência de Terceiro,Abalroamento,0.6,16
522,Interferência de Terceiro,Abalroamento,0.7,7
523,Interferência de Terceiro,Atropelamento,1.8,4
524,Interferência de Terceiro,Abalroamento,0.3,13
525,Interferência de Terceiro,Atropelamento,1.1,16
526,Interferência de Terceiro,Abalroamento,1.2,17
527,Interferência de Terceiro,Atropelamento,0.2,7
528,Interferência de Terceiro,Atropelamento,0.5,13
529,Via Permanente,Descarrilamento,14.4,17
530,Casos Fortuitos ou de Força Maior,Abalroamento,0.4,7
531,Interferência de Terceiro,Atropelamento,0.6,7
532,Interferência de Terceiro,Atropelamento,2.4,8
